TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
6,81E+13;-0.0186;-0.0349;-0.0110
6,81E+13;0.0086;0.0067;0.0076
6,81E+13;-0.0048;-0.0045;-0.0073
6,81E+13;-0.0042;0.0189;-0.0062
6,81E+13;0.0219;0.0200;-0.0094
6,81E+13;0.0293;-0.0466;-0.0051
6,81E+13;0.0096;0.0088;-0.0003
6,81E+13;0.0256;-0.0221;-0.0014
6,81E+13;0.0064;0.0024;-0.0083
6,81E+13;0.0368;-0.0125;-0.0073
6,81E+13;0.0043;0.0205;-0.0003
6,81E+13;-0.0138;-0.0173;-0.0025
6,81E+13;0.0165;-0.0013;0.0071
6,81E+13;-0.0420;0.0093;-0.0019
6,81E+13;0.0038;-0.0221;-0.0003
6,81E+13;-0.0474;0.0360;0.0034
6,81E+13;-0.0149;-0.0450;0.0023
6,81E+13;-0.0255;0.0839;0.0156
6,81E+13;-0.0261;-0.0636;-0.0067
6,81E+13;-0.0133;0.0546;-0.0014
6,81E+13;-0.0218;-0.0402;-0.0195
6,81E+13;-0.0032;0.0003;-0.0025
6,81E+13;-0.0239;-0.0157;-0.0051
6,81E+13;0.0160;-0.0652;-0.0094
6,81E+13;-0.0191;0.0940;-0.0067
6,81E+13;-0.0058;-0.1062;-0.0248
6,81E+13;0.0149;-0.0024;-0.0115
6,81E+13;0.0054;0.0072;-0.0110
6,81E+13;0.0086;-0.0205;-0.0184
6,81E+13;0.0155;0.0008;-0.0062
6,81E+13;0.0075;-0.0242;-0.0163
6,81E+13;0.0171;0.0221;-0.0121
6,81E+13;0.0133;-0.0216;-0.0137
6,81E+13;0.0032;0.0152;-0.0137
6,81E+13;0.0165;0.0104;-0.0073
6,81E+13;-0.0016;-0.0050;-0.0089
6,81E+13;0.0165;0.0013;-0.0083
6,81E+13;-0.0037;0.0115;-0.0142
6,81E+13;0.0032;0.0253;-0.0158
6,81E+13;-0.0010;0.0232;-0.0062
6,81E+13;-0.0021;-0.0093;-0.0025
6,82E+13;-0.0021;0.0115;-0.0062
6,82E+13;0.0038;0.0280;-0.0062
6,82E+13;-0.0058;0.0258;-0.0147
6,82E+13;0.0011;0.0019;-0.0083
6,82E+13;0.0096;0.0019;-0.0067
6,82E+13;0.0165;0.0226;-0.0067
6,82E+13;0.0107;0.0194;-0.0046
6,82E+13;0.0070;0.0333;-0.0089
6,82E+13;0.0059;0.0061;-0.0110
6,82E+13;0.0123;0.0051;-0.0094
6,82E+13;0.0011;0.0179;-0.0099
6,82E+13;-0.0010;0.0216;-0.0046
6,82E+13;0.0038;-0.0013;-0.0089
6,82E+13;-0.0186;0.0631;-0.0035
6,82E+13;-0.0005;-0.0263;-0.0126
6,82E+13;-0.0229;0.0525;-0.0062
6,82E+13;0.0059;-0.0322;-0.0137
6,82E+13;-0.0218;0.0349;-0.0131
6,82E+13;-0.0170;-0.0120;-0.0035
6,82E+13;-0.0042;-0.0082;-0.0046
6,82E+13;-0.0053;0.0269;-0.0062
6,82E+13;-0.0085;0.0035;-0.0110
6,82E+13;0.0027;-0.0114;-0.0110
6,82E+13;-0.0010;0.0077;-0.0147
6,82E+13;0.0155;-0.0146;-0.0099
6,82E+13;-0.0069;0.0083;-0.0030
6,82E+13;0.0272;-0.0327;-0.0067
6,82E+13;-0.0032;0.0274;-0.0083
6,82E+13;0.0075;-0.0221;-0.0121
6,82E+13;0.0054;0.0051;-0.0046
6,82E+13;0.0059;-0.0061;-0.0089
6,82E+13;-0.0053;0.0189;-0.0099
6,82E+13;-0.0117;-0.0082;-0.0025
6,82E+13;0.0118;0.0040;-0.0009
6,82E+13;0.0038;0.0120;-0.0009
6,82E+13;-0.0048;-0.0093;-0.0115
6,82E+13;-0.0021;0.0264;-0.0062
6,82E+13;0.0011;-0.0136;-0.0094
