TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
6,81E+13;0.1249;-0.6840;94.143
6,81E+13;0.1501;-0.6636;96.263
6,81E+13;0.0483;-0.7115;97.197
6,81E+13;0.2866;-0.6241;98.144
6,81E+13;0.3429;-0.6600;96.347
6,81E+13;0.3908;-0.8684;96.994
6,81E+13;0.3693;-0.7402;101.174
6,81E+13;-0.0116;-0.9139;93.796
6,81E+13;0.1752;-0.8097;109.031
6,81E+13;0.4435;-0.8780;99.784
6,81E+13;0.4124;-0.5007;96.970
6,81E+13;0.1717;-0.9031;99.461
6,81E+13;-0.0092;-0.9726;96.119
6,81E+13;-0.0966;-10.073;104.707
6,81E+13;0.2339;-0.7139;95.976
6,81E+13;0.4423;-0.6648;100.671
6,81E+13;0.3872;-10.529;97.616
6,81E+13;0.2267;-0.9499;102.192
6,81E+13;0.1669;-11.068;92.825
6,81E+13;-0.0691;-0.9451;108.288
6,81E+13;0.4915;-0.6720;88.166
6,81E+13;0.1872;-14.122;103.222
6,81E+13;0.1800;-0.8684;103.665
6,81E+13;0.5106;-0.8744;86.286
6,81E+13;-0.0751;-0.7870;102.060
6,81E+13;0.4831;-0.8241;95.988
6,81E+13;0.4208;-0.9558;97.030
6,81E+13;0.1956;-10.265;95.017
6,81E+13;0.2723;-0.7690;95.221
6,81E+13;0.1022;-0.8804;96.646
6,81E+13;0.5705;-0.8624;99.533
6,81E+13;0.4807;-0.7414;92.167
6,81E+13;0.0998;-0.9834;95.760
6,81E+13;0.2447;-0.6348;97.221
6,81E+13;0.2136;-10.445;100.862
6,81E+13;0.2998;-0.9103;104.767
6,81E+13;0.6448;-0.8948;97.497
6,81E+13;0.2806;-10.325;99.940
6,81E+13;0.2830;-11.307;100.814
6,81E+13;-0.0643;-11.726;105.462
6,81E+13;0.4783;-0.9894;98.898
6,81E+13;0.5573;-0.8948;92.802
6,81E+13;0.3501;-11.547;100.791
6,81E+13;0.2136;-0.7989;101.425
6,81E+13;0.1285;-0.8708;92.694
6,81E+13;0.3777;-0.6852;94.850
6,81E+13;0.3525;-0.5342;97.509
6,81E+13;0.5729;-10.241;89.735
6,81E+13;0.2639;-0.7678;98.251
6,81E+13;0.1764;-0.8217;90.610
6,81E+13;0.2759;-0.7618;101.150
6,81E+13;0.6735;-0.7103;94.610
6,81E+13;0.4819;-10.265;92.023
6,81E+13;0.2639;-0.8313;97.688
6,81E+13;0.1657;-11.223;93.029
6,81E+13;0.1261;-0.7247;96.467
6,81E+13;0.3861;-0.9918;93.448
6,81E+13;0.5142;-0.9594;105.737
6,81E+13;0.9095;-0.8037;94.886
6,81E+13;0.2759;-11.535;95.628
